site	test	class	action	evidence
crates/boyko_rhi_vulkan/tests/sdf_gbuffer_hybrid.rs:7449	p5_mesh_sdf_pbr_screenshot_dump	gpu	insert	body calls boot_or_skip (:454) = VulkanContext::boot; offscreen render (gate or dump)
crates/boyko_rhi_vulkan/tests/sdf_gbuffer_hybrid.rs:7537	p6_multilight_shadows_screenshot_dump	gpu	insert	body calls boot_or_skip (:454) = VulkanContext::boot; offscreen render (gate or dump)
crates/boyko_rhi_vulkan/tests/software_ray_baseline_cost.rs:212	software_ray_baseline_cost	gpu	insert	body calls boot_or_skip = VulkanContext::boot; GPU-timestamp cost of the SOFTWARE ray path, no RT capability
crates/boyko_rhi_vulkan/tests/spec_constant_smoke.rs:158	spec_constant_empty_vs_override	feature+gpu	insert	file is #![cfg(feature = "spec_constant_smoke")] (:28); body calls boot_or_skip, headless; prose names --features spec_constant_smoke
crates/boyko_rhi_vulkan/tests/vb_barrier_stream_baseline.rs:1766	dump_vb_unsplit_barrier_streams	generator	insert	no device entry; prints barrier streams as Rust source to paste (CLAUDE.md names both)
crates/boyko_rhi_vulkan/tests/vb_barrier_stream_baseline.rs:1794	dump_vb_split_barrier_streams	generator	insert	no device entry; prints barrier streams as Rust source to paste (CLAUDE.md names both)
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:2998	p0_windowed_coarse_cull_matches_uncull	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:4400	engine_showcase_512_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:4418	engine_ssao_512_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:4446	engine_ssao_mesh_512_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:4471	engine_ssao_ladder_off_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:4481	engine_ssao_ladder_low_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:4488	engine_ssao_ladder_medium_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:4495	engine_ssao_ladder_high_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:4509	engine_hybrid_room_512_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:4822	engine_instanced_persp_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:5339	engine_csm_shadow_512_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:5522	engine_spot_shadow_512_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:5698	engine_point_shadow_512_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:5972	engine_grand_showcase_512_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:6029	engine_deferred_sdf_only_512_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:6073	engine_deferred_mesh_only_512_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:6126	engine_grand_showcase_512_ddgi_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:7039	shadow_motion_ab_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:7059	shadow_dolly_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:7081	shadow_lag_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:7183	engine_csm_cascades_512_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:7382	engine_multimesh_persp_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:7462	engine_nonuniform_normals_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:7622	engine_capsule_character_512_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:7646	engine_contact_shadow_off_512_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:7657	engine_contact_shadow_on_512_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_rhi_vulkan/tests/window_present_gbuffer.rs:7743	engine_mdf_shadow_512_screenshot_dump	gpu-windowed	insert	body reaches with_windowed_present (:1618: window, windowed boot, surface, swapchain) directly or via run_showcase_dump (:7752); no RT pipeline
crates/boyko_sdf_math/src/brick/tests.rs:140	brick_field_is_conservative_lower_bound	deferred	rewrite	plain; RED by design until M2's JCGT cubic (CLAUDE.md names it); was `M2:`
crates/boyko_sdf_math/src/brick/tests.rs:461	trilinear_reconstruct_is_a_tight_lower_bound_in_r1	deferred	rewrite	plain; RED by design until M2's JCGT cubic (CLAUDE.md names it); was `M2:`
crates/boyko_serialize/tests/gaia_f4_load_path_fixups.rs:357	load_path_fires_attach_hooks	deferred	keep	re-verified: RED BY DESIGN until Gaia ballot F4 (file header)
crates/boyko_serialize/tests/gaia_f4_load_path_fixups.rs:408	load_path_contributes_asset_refcounts	deferred	keep	re-verified: RED BY DESIGN until Gaia ballot F4 (file header)
crates/boyko_serialize/tests/gaia_f4_load_path_fixups.rs:444	load_path_applies_the_requires_closure	deferred	keep	re-verified: RED BY DESIGN until Gaia ballot F4 (file header)
crates/boyko_serialize/tests/gaia_f4_load_path_fixups.rs:514	load_path_restores_flag_initial_state	deferred	keep	re-verified: RED BY DESIGN until Gaia ballot F4 (file header)
crates/boyko_serialize/tests/gaia_f4_load_path_fixups.rs:555	load_path_rebuilds_the_relation_reverse_index	deferred	keep	re-verified: RED BY DESIGN until Gaia ballot F4 (file header)
crates/boyko_threadpool/src/block.rs:1179	the_recorder_sees_a_known_acquisition_and_its_release	miri-unsupported	replace	cfg_attr(miri); reads the recording #[global_allocator], which is cfg(not(miri)); Recording::start PANICS under Miri - Miri cannot run it at all; was `instrument:`
crates/boyko_threadpool/src/block.rs:1208	a_region_sees_only_the_events_of_its_own_region	miri-unsupported	replace	cfg_attr(miri); reads the recording #[global_allocator], which is cfg(not(miri)); Recording::start PANICS under Miri - Miri cannot run it at all; was `instrument:`
crates/boyko_threadpool/src/block.rs:1283	every_emplaced_pointer_lies_inside_a_chunk_the_block_owns	miri-unsupported	replace	cfg_attr(miri); reads the recording #[global_allocator], which is cfg(not(miri)); Recording::start PANICS under Miri - Miri cannot run it at all; was `instrument:`
crates/boyko_threadpool/src/block.rs:1402	growth_appends_a_chunk_and_frees_none	miri-unsupported	replace	cfg_attr(miri); reads the recording #[global_allocator], which is cfg(not(miri)); Recording::start PANICS under Miri - Miri cannot run it at all; was `instrument:`
crates/boyko_threadpool/src/block.rs:1441	the_chunk_count_matches_the_designs_prediction_at_stride_88	miri-unsupported	replace	cfg_attr(miri); reads the recording #[global_allocator], which is cfg(not(miri)); Recording::start PANICS under Miri - Miri cannot run it at all; was `instrument:`
crates/boyko_threadpool/src/block.rs:1467	the_chunk_capacities_match_the_independent_growth_model	miri-unsupported	replace	cfg_attr(miri); reads the recording #[global_allocator], which is cfg(not(miri)); Recording::start PANICS under Miri - Miri cannot run it at all; was `instrument:`
crates/boyko_threadpool/src/block.rs:1506	free_all_frees_every_chunk_exactly_once	miri-unsupported	replace	cfg_attr(miri); reads the recording #[global_allocator], which is cfg(not(miri)); Recording::start PANICS under Miri - Miri cannot run it at all; was `instrument:`
crates/boyko_threadpool/src/block.rs:1545	free_all_frees_every_chunk_exactly_once_after_an_unwind_mid_wave	miri-unsupported	replace	cfg_attr(miri); reads the recording #[global_allocator], which is cfg(not(miri)); Recording::start PANICS under Miri - Miri cannot run it at all; was `instrument:`
crates/boyko_threadpool/src/block.rs:1629	a_second_free_all_frees_nothing	miri-unsupported	replace	cfg_attr(miri); reads the recording #[global_allocator], which is cfg(not(miri)); Recording::start PANICS under Miri - Miri cannot run it at all; was `instrument:`
crates/boyko_threadpool/src/block.rs:1649	a_block_that_emplaced_nothing_never_calls_the_allocator	miri-unsupported	replace	cfg_attr(miri); reads the recording #[global_allocator], which is cfg(not(miri)); Recording::start PANICS under Miri - Miri cannot run it at all; was `instrument:`
crates/boyko_threadpool/src/block.rs:1666	emplace_after_free_all_restarts_the_growth_curve_at_chunk_zero	miri-unsupported	replace	cfg_attr(miri); reads the recording #[global_allocator], which is cfg(not(miri)); Recording::start PANICS under Miri - Miri cannot run it at all; was `instrument:`
crates/boyko_threadpool/src/block.rs:1713	a_zero_sized_emplace_allocates_no_chunk	miri-unsupported	replace	cfg_attr(miri); reads the recording #[global_allocator], which is cfg(not(miri)); Recording::start PANICS under Miri - Miri cannot run it at all; was `instrument:`
crates/boyko_threadpool/src/block.rs:1792	an_over_aligned_type_is_placed_aligned_and_inside_its_chunk	miri-unsupported	replace	cfg_attr(miri); reads the recording #[global_allocator], which is cfg(not(miri)); Recording::start PANICS under Miri - Miri cannot run it at all; was `instrument:`
crates/boyko_threadpool/src/block.rs:1836	a_type_larger_than_chunk0_gets_a_chunk_that_holds_it	miri-unsupported	replace	cfg_attr(miri); reads the recording #[global_allocator], which is cfg(not(miri)); Recording::start PANICS under Miri - Miri cannot run it at all; was `instrument:`
crates/boyko_threadpool/src/block.rs:1871	every_chunk_layout_satisfies_the_receipts_chunk_predicate	miri-unsupported	replace	cfg_attr(miri); reads the recording #[global_allocator], which is cfg(not(miri)); Recording::start PANICS under Miri - Miri cannot run it at all; was `instrument:`
crates/boyko_threadpool/src/block.rs:1900	the_chunk_bucket_and_the_cell_bucket_cannot_hold_the_same_allocation	miri-unsupported	replace	cfg_attr(miri); reads the recording #[global_allocator], which is cfg(not(miri)); Recording::start PANICS under Miri - Miri cannot run it at all; was `instrument:`
crates/boyko_threadpool/src/block.rs:1971	chunk_table_exhaustion_aborts_the_process	miri-unsupported	replace	cfg_attr(miri); re-execs the test binary as a child process, which Miri does not support; was `instrument:`
crates/boyko_threadpool/src/block.rs:2078	random_mixed_waves_keep_every_claim_in_bounds_aligned_and_pairwise_disjoint	miri-unsupported	replace	cfg_attr(miri); reads the recording #[global_allocator], which is cfg(not(miri)); Recording::start PANICS under Miri - Miri cannot run it at all; was `instrument:`
crates/boyko_threadpool/tests/a6_panic_propagation.rs:154	watchdog_reports_a_returning_scope	miri-slow	keep	re-verified: cfg_attr(miri); 10 s watchdog thread
crates/boyko_threadpool/tests/a6_panic_propagation.rs:182	watchdog_reports_a_panicking_closure_without_a_pool	miri-slow	keep	re-verified: cfg_attr(miri); 10 s watchdog thread
crates/boyko_threadpool/tests/a6_panic_propagation.rs:200	scoped_task_panic_resumes_on_owner_with_original_payload	miri-slow	keep	re-verified: cfg_attr(miri); 10 s watchdog thread
crates/boyko_threadpool/tests/a6_panic_propagation.rs:228	scoped_task_panic_still_joins_every_sibling_task	miri-slow	keep	re-verified: cfg_attr(miri); 10 s watchdog thread
crates/boyko_threadpool/tests/a6_panic_propagation.rs:266	pool_runs_a_later_scope_after_a_task_panic	miri-slow	keep	re-verified: cfg_attr(miri); 10 s watchdog thread
crates/boyko_threadpool/tests/a6_panic_propagation.rs:302	nested_scoped_task_panic_resumes_on_outer_owner	miri-slow	keep	re-verified: cfg_attr(miri); 10 s watchdog thread
crates/boyko_threadpool/tests/a6_panic_propagation.rs:336	pool_runs_a_later_nested_wave_after_a_nested_panic	miri-slow	keep	re-verified: cfg_attr(miri); 10 s watchdog thread
crates/boyko_threadpool/tests/a6_panic_propagation.rs:385	several_panicking_tasks_resume_one_of_their_payloads	miri-slow	keep	re-verified: cfg_attr(miri); 10 s watchdog thread
crates/boyko_threadpool/tests/a6_panic_propagation.rs:409	dispatcher_side_scope_task_panic_resumes_on_owner	miri-slow	keep	re-verified: cfg_attr(miri); 10 s watchdog thread
crates/boyko_threadpool/tests/a6_panic_propagation.rs:520	detached_spawn_panic_does_not_block_pool_shutdown	miri-unsupported	keep	re-verified: cfg_attr(miri); re-executes the test binary as a child process
crates/boyko_threadpool/tests/a6_panic_propagation.rs:609	owner_and_task_panicking_together_resume_on_owner_without_abort	miri-unsupported	keep	re-verified: cfg_attr(miri); re-executes the test binary as a child process
crates/boyko_threadpool/tests/a6_panic_propagation.rs:889	a_payload_that_panics_on_drop_does_not_block_the_scope	miri-unsupported	keep	re-verified: cfg_attr(miri); re-executes the test binary as a child process
crates/boyko_threadpool/tests/a6_panic_propagation.rs:1188	a_detached_task_whose_payload_panics_on_drop_still_aborts	miri-unsupported	keep	re-verified: cfg_attr(miri); re-executes the test binary as a child process
crates/boyko_threadpool/tests/a6_panic_propagation.rs:1348	a_scope_closed_during_another_scopes_unwind_still_resumes_its_task_panic	miri-unsupported	keep	re-verified: cfg_attr(miri); re-executes the test binary as a child process
crates/boyko_threadpool/tests/a6_panicked_scope_chunk_receipts.rs:219	a_scope_whose_task_panicked_returns_every_chunk	miri-unsupported	keep	re-verified: cfg_attr(miri); cfg(not(miri)) #[global_allocator]
crates/boyko_threadpool/tests/block_allocation_receipts.rs:663	the_scoped_task_path_allocates_no_cell_and_the_block_accounts_for_every_chunk	miri-unsupported	replace	cfg_attr(miri); reads a cfg(not(miri)) #[global_allocator] (file header); same shape as a6_panicked_scope_chunk_receipts' miri-unsupported site; was `instrument:`
crates/boyko_threadpool/tests/stress.rs:281	no_starvation_every_worker_makes_progress	flaky	insert	plain; best-effort fairness probe, timing-dependent on a shared box (plan D6); CLAUDE.md names it 'NOT a CI gate'
crates/boyko_threadpool/tests/tb_neg_m2w_block_reference.rs:157	a_protector_over_chunk_memory_held_across_the_release_is_caught_by_tree_borrows	feature+miri-slow	replace	cfg_attr(not(all(miri, feature = "tb-neg-m2w"))): ignored natively and under plain Miri, runs only under Miri with --features tb-neg-m2w via scripts/tb_neg_gate.*; cut ruling 3; was `miri-arm:`
crates/boyko_ui/tests/gk2_bind_dense_source_blindness.rs:341	discovery_gate_sees_a_dense_bind_source	deferred	keep	re-verified: RED BY DESIGN until Gaia GK-2 (file header)
crates/boyko_ui/tests/gk2_bind_dense_source_blindness.rs:381	apply_gate_resolves_a_dense_bind_source_tick	deferred	keep	re-verified: RED BY DESIGN until Gaia GK-2 (file header)
crates/reflect_fixture/tests/reflect_absence_census.rs:983	measure_link_configuration_table	generator	rewrite	plain; builds 3 legs x 3 link configurations and PRINTS the table; asserts nothing; was `calibration:`
